G:\Shared drives\Noel lab\Juliana_FileStream\Data_RAWandProcessed\Lightsheet\LS09_200131_hapln1a_prom241_F2InX_72hpf\RAW_LS09\	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ImageTitle	FileName	CreationDate	TimeSeries	Laser1	LaserPower1	Laser2	LaserPower2	Filter1	Filter2	Filter3	Filter4	CamFrameHeight	CamFrameWidth	ScalingX	ScalingY	ScalingZ	DimensionX	DimensionY	DimensionZ
LS09_F01_V_DS_1004.czi	F01-V-DS_1004	2020-01-31T10:01:04	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	290
LS09_F02_V_DS_1008.czi	F02-V-DS-1008	2020-01-31T10:08:54	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	312
LS09_F02_V_DS_1012.czi	F02-V-DS-1012	2020-01-31T10:12:14	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	312
LS09_F03_V_DS_1020.czi	F03-V-DS-1020	2020-01-31T10:20:34	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	364
LS09_F03_V_DS_1024.czi	F03-V-DS-1024	2020-01-31T10:24:51	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	364
LS09_F04_V_DS_1031.czi	F04-V-DS-1031	2020-01-31T10:31:39	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	319
LS09_F04_V_DS_1033.czi	F04-V-DS-1033	2020-01-31T10:33:53	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	319
LS09_F05_V_DS_1042.czi	F05-V-DS-1042	2020-01-31T10:42:41	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	276
LS09_F06_V_DS_1049.czi	F06-V-DS-1049	2020-01-31T10:49:50	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	277
LS09_F07_V_DS_1100.czi	F07-V-DS-1100	2020-01-31T11:00:19	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	6.5296100000000002e-007	512	512	224
LS09_F07_V_DS_1111.czi	F07-V-DS-1111	2020-01-31T11:12:18	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	289
LS09_F08_V_DS_1119.czi	F08-V-DS-1119	2020-01-31T11:19:20	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	296
LS09_F09_V_DS_1127.czi	F09-V-DS-1127	2020-01-31T11:27:58	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	393
LS09_F10_V_DS_1138.czi	F10-V-DS-1138	2020-01-31T11:38:19	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	257
LS09_F11_V_DS_1145.czi	F11-V-DS-1145	2020-01-31T11:45:20	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	301
LS09_F12_V_DS_1155.czi	F12-V-DS-1155	2020-01-31T11:55:32	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	340
LS09_F12_V_DS_1157.czi	F12-V-DS-1157	2020-01-31T11:57:34	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	340
LS09_F13_D_SS_1209.czi	F13-D-SS-1209	2020-01-31T12:09:37	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	426
LS09_F13_V_DS_1203.czi	F13-V-DS-1203	2020-01-31T12:03:55	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	332
LS09_F13_V_DS_1205.czi	F13-V-DS-1205	2020-01-31T12:05:54	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	332
LS09_F14_D_SS_1226.czi	F14-D-SS-1226	2020-01-31T12:26:33	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	433
LS09_F14_V_DS_1219.czi	F14-V-DS-1219	2020-01-31T12:19:48	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	346
LS09_F15_V_DS_1236.czi	F15-V-DS-1236	2020-01-31T12:36:31	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	344
LS09_F16_V_DS_1243.czi	F16-V-DS-1243	2020-01-31T12:43:24	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	317
LS09_F17_V_DS_1249.czi	F17-V-DS-1249	2020-01-31T12:50:04	false	Laser 488-30	0.050000000000000003	Laser 561-20	0.02	LBF 405/488/561	SBS LP 560	LBF 405/488/561	SBS LP 560	1200	1200	2.2832596445005058e-007	2.2832596445005058e-007	4.6972965900571757e-007	512	512	337
